LEI_Code,Period,CET1_capital,RWA,total_assets,Name,Country,CET1_ratio
213800X3Q9LSAKRUWY91,2024-09-01,16985.201494,116822.4279342,320227.255388,KBC Groupe,BE,14.53933272433516
213800X3Q9LSAKRUWY91,2024-12-01,17971.687051,119944.94132041,339314.078098,KBC Groupe,BE,14.983280539520273
213800X3Q9LSAKRUWY91,2025-03-01,17936.709181,123005.280639062,346461.244442,KBC Groupe,BE,14.582064353507073
213800X3Q9LSAKRUWY91,2025-06-01,18138.085284,124314.856915678,356505.446981,KBC Groupe,BE,14.59044054268023
222100K6QL2V4MLHWQ08,2024-09-01,3324.14822475,21174.39186671,45748.9856399999,LSF NANI INVESTMENTS S.A R.L.,PT,15.698907650689916
222100K6QL2V4MLHWQ08,2024-12-01,3453.56426664,21250.39794315,42492.05661252,LSF NANI INVESTMENTS S.A R.L.,PT,16.251762794650375
222100K6QL2V4MLHWQ08,2025-03-01,3379.32581767,21013.80219134,43801.79035168,LSF NANI INVESTMENTS S.A R.L.,PT,16.081458209703023
222100K6QL2V4MLHWQ08,2025-06-01,3171.28689187,21160.42036063,44528.16089267,LSF NANI INVESTMENTS S.A R.L.,PT,14.986880401347486
254900RNFMDM0P11YR84,2024-09-01,2469.07165854,14782.54541907,45868.00908592,ATLANTIC LUX HOLDCO S.A R.L.,DE,16.7026150675973
254900RNFMDM0P11YR84,2024-12-01,2892.481437,14268.20670036,47932.90169703,ATLANTIC LUX HOLDCO S.A R.L.,DE,20.272214285534705
254900RNFMDM0P11YR84,2025-03-01,2797.03857112,13605.28856655,46281.97862433,ATLANTIC LUX HOLDCO S.A R.L.,DE,20.558465610180495
254900RNFMDM0P11YR84,2025-06-01,2920.53859377,13313.4275952,47507.80604836,ATLANTIC LUX HOLDCO S.A R.L.,DE,21.936789552398707
2G5BKIC2CB69PRJH1W31,2024-09-01,5995.52772843414,38786.7466784454,,Barclays Bank Ireland plc,IE,15.457671090950194
2G5BKIC2CB69PRJH1W31,2024-12-01,6146.34060909799,38406.6091665231,,Barclays Bank Ireland plc,IE,16.003340941786163
2G5BKIC2CB69PRJH1W31,2025-03-01,6030.0712603408,34179.5490692137,,Barclays Bank Ireland plc,IE,17.642337083294706
2G5BKIC2CB69PRJH1W31,2025-06-01,6154.92617381309,35126.1613810315,,Barclays Bank Ireland plc,IE,17.522342128556108
2W8N8UU78PMDQKZENC08,2024-09-01,40555.201277,297424.899316,775150.75842,Intesa Sanpaolo S.p.A.,IT,13.635442550461116
2W8N8UU78PMDQKZENC08,2024-12-01,39306.7941819999,296365.843434,759211.96936,Intesa Sanpaolo S.p.A.,IT,13.262929940424609
2W8N8UU78PMDQKZENC08,2025-03-01,39633.856668,304636.27976,765173.117549,Intesa Sanpaolo S.p.A.,IT,13.010222124306578
2W8N8UU78PMDQKZENC08,2025-06-01,40017.995909,308507.602135,770518.393645,Intesa Sanpaolo S.p.A.,IT,12.971478055016778
391200EEGLNXBBCVKC73,2024-09-01,3842.89955145,17873.36604732,57775.108,Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG,DE,21.500704127447886
391200EEGLNXBBCVKC73,2024-12-01,3948.45580859,14528.4871326,45750.802,Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG,DE,27.17733630867999
391200EEGLNXBBCVKC73,2025-03-01,3955.089739,15594.2062057,47914.93620446,Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG,DE,25.362558932652394
391200EEGLNXBBCVKC73,2025-06-01,3949.53047051,16081.46435709,46912.89190614,Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG,DE,24.559520095996294
